twitter_handle,twitter_url,timestamp,number_of_followers
togga,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445418010&q=togga,2015-10-22T04:00:10,1
,,,
wikibuy,http://twitter.com/wikibuy,2015-10-23T04:00:08,110
,,,
savehoney,http://twitter.com/savehoney,2015-10-23T04:00:08,1602
,,,
jet,http://twitter.com/jet,2015-10-23T04:00:09,6657
,,,
wikibuy,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445504409&q=wikibuy,2015-10-23T04:00:09,0
,,,
scott hilton jet,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445504409&q=scott%20hilton%20jet,2015-10-23T04:00:09,0
,,,
joinhoney,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445504409&q=joinhoney,2015-10-23T04:00:09,0
,,,
togga,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445504409&q=togga,2015-10-23T04:00:09,2
,,,
wikibuy,http://twitter.com/wikibuy,2015-10-24T04:00:08,110
,,,
savehoney,http://twitter.com/savehoney,2015-10-24T04:00:08,1602
,,,
jet,http://twitter.com/jet,2015-10-24T04:00:09,6659
,,,
wikibuy,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445590810&q=wikibuy,2015-10-24T04:00:10,0
,,,
scott hilton jet,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445590810&q=scott%20hilton%20jet,2015-10-24T04:00:10,0
,,,
joinhoney,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445590810&q=joinhoney,2015-10-24T04:00:10,0
,,,
togga,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445590810&q=togga,2015-10-24T04:00:10,0
,,,
wikibuy,http://twitter.com/wikibuy,2015-10-25T04:00:08,110
,,,
savehoney,http://twitter.com/savehoney,2015-10-25T04:00:09,1604
,,,
jet,http://twitter.com/jet,2015-10-25T04:00:09,6675
,,,
wikibuy,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445677210&q=wikibuy,2015-10-25T04:00:10,0
,,,
scott hilton jet,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445677210&q=scott%20hilton%20jet,2015-10-25T04:00:10,0
,,,
joinhoney,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445677210&q=joinhoney,2015-10-25T04:00:10,0
,,,
togga,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445677210&q=togga,2015-10-25T04:00:10,5
,,,
wikibuy,http://twitter.com/wikibuy,2015-10-26T04:00:08,11069
,,,
savehoney,http://twitter.com/savehoney,2015-10-26T04:00:09,160269
,,,
jet,http://twitter.com/jet,2015-10-26T04:00:09,668869
,,,
wikibuy,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445763610&q=wikibuy,2015-10-26T04:00:10,0
,,,
scott hilton jet,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445763610&q=scott%20hilton%20jet,2015-10-26T04:00:10,0
,,,
joinhoney,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445763610&q=joinhoney,2015-10-26T04:00:10,0
,,,
togga,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445763610&q=togga,2015-10-26T04:00:10,3
,,,
wikibuy,http://twitter.com/wikibuy,2015-10-27T04:00:28,11069
,,,
savehoney,http://twitter.com/savehoney,2015-10-27T04:00:30,160269
,,,
jet,http://twitter.com/jet,2015-10-27T04:00:32,6969
,,,
wikibuy,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445850034&q=wikibuy,2015-10-27T04:00:34,1
,,,
scott hilton jet,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445850034&q=scott%20hilton%20jet,2015-10-27T04:00:34,0
,,,
joinhoney,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445850034&q=joinhoney,2015-10-27T04:00:34,0
,,,
togga,http://otter.topsy.com/searchcount.js?dynamic=1&count_method=citation&apikey=09C43A9B270A470B8EB8F2946A9369F3&&mintime=1445850034&q=togga,2015-10-27T04:00:34,0
,,,
